date,state,district,pincode,bio_age_5_17,bio_age_17_
01-01-2026,Delhi,Shahdara,110032,8,8
01-01-2026,Delhi,South Delhi,110003,1,8
01-01-2026,Delhi,South Delhi,110019,70,47
01-01-2026,Delhi,South Delhi,110024,11,7
01-01-2026,Delhi,South Delhi,110048,13,22
01-01-2026,Delhi,South Delhi,110065,36,23
01-01-2026,Delhi,South West Delhi,110022,16,8
01-01-2026,Delhi,South West Delhi,110028,12,14
01-01-2026,Delhi,South West Delhi,110029,10,4
01-01-2026,Delhi,South West Delhi,110043,136,108
01-01-2026,Delhi,South West Delhi,110061,9,6
01-01-2026,Delhi,South West Delhi,110078,23,21
01-01-2026,Delhi,West Delhi,110026,9,6
01-01-2026,Delhi,West Delhi,110027,34,63
01-01-2026,Delhi,West Delhi,110059,216,187
02-12-2025,Delhi,South West Delhi,110072,1,3
07-12-2025,Delhi,North West Delhi,110094,0,1
12-12-2025,Delhi,North West Delhi,110094,0,1
26-12-2025,Delhi,Central Delhi,110001,0,4
26-12-2025,Delhi,North East Delhi,110090,0,1
25-12-2025,Delhi,North West Delhi,110056,0,1
25-12-2025,Delhi,South Delhi,110048,0,6
25-12-2025,Delhi,South East Delhi,110025,0,20
25-12-2025,Delhi,South West Delhi,110030,0,3
25-12-2025,Delhi,West Delhi,110063,3,15
18-12-2025,Delhi,East Delhi,110094,0,1
18-12-2025,Delhi,New Delhi,110023,0,1
18-12-2025,Delhi,South West Delhi,110047,0,2
24-12-2025,Delhi,South West Delhi,110047,0,1
20-12-2025,Delhi,Central Delhi,110001,0,2
20-12-2025,Delhi,Central Delhi,110004,0,2
20-12-2025,Delhi,New Delhi,110011,0,1
14-12-2025,Delhi,East Delhi,110095,1,10
14-12-2025,Delhi,North West Delhi,110081,4,32
14-12-2025,Delhi,North West Delhi,110082,0,6
14-12-2025,Delhi,Shahdara,110032,2,24
14-12-2025,Delhi,Shahdara,110053,0,2
14-12-2025,Delhi,South Delhi,110049,1,9
14-12-2025,Delhi,South Delhi,110068,0,6
14-12-2025,Delhi,South West Delhi,110057,1,3
15-12-2025,Delhi,New Delhi,110011,0,2
10-12-2025,Delhi,North East Delhi,110090,0,1
06-12-2025,Delhi,Central Delhi,110001,0,3
07-12-2025,Delhi,South West Delhi,110022,0,3
07-12-2025,Delhi,South West Delhi,110030,0,2
07-12-2025,Delhi,South West Delhi,110043,14,60
07-12-2025,Delhi,West Delhi,110058,0,6
07-12-2025,Delhi,Central Delhi,110002,1,10
07-12-2025,Delhi,East Delhi,110032,0,6
07-12-2025,Delhi,North Delhi,110054,5,10
07-12-2025,Delhi,North West Delhi,110056,0,1
08-12-2025,Delhi,New Delhi,110023,0,4
08-12-2025,Delhi,Shahdara,110053,0,10
16-12-2025,Delhi,Central Delhi,110004,0,1
16-12-2025,Delhi,New Delhi,110011,1,4
21-12-2025,Delhi,Central Delhi,110003,1,5
21-12-2025,Delhi,East Delhi,110094,0,1
21-12-2025,Delhi,New Delhi,110001,0,3
21-12-2025,Delhi,North West Delhi,110056,0,2
21-12-2025,Delhi,Shahdara,110090,0,2
21-12-2025,Delhi,South Delhi,110024,1,3
21-12-2025,Delhi,South Delhi,110048,0,8
27-11-2025,Delhi,South West Delhi,110038,0,5
28-11-2025,Delhi,North West Delhi,110056,0,4
30-11-2025,Delhi,Central Delhi,110005,2,15
30-11-2025,Delhi,Central Delhi,110011,0,2
30-11-2025,Delhi,North East Delhi,110090,0,2
30-11-2025,Delhi,North West Delhi,110040,5,27
30-11-2025,Delhi,Shahdara,110053,0,3
30-11-2025,Delhi,South Delhi,110016,0,5
30-11-2025,Delhi,South West Delhi,110021,0,4
30-11-2025,Delhi,South West Delhi,110030,1,0
30-11-2025,Delhi,South West Delhi,110047,0,2
30-11-2025,Delhi,South West Delhi,110070,1,7
30-11-2025,Delhi,South West Delhi,110073,0,2
01-03-2025,Delhi,North West Delhi,110052,602,1266
01-03-2025,Delhi,Central Delhi,110002,260,427
01-03-2025,Delhi,West Delhi,110087,227,436
01-03-2025,Delhi,South Delhi,110025,891,1409
01-03-2025,Delhi,South West Delhi,110075,232,328
01-03-2025,Delhi,Shahdara,110095,71,114
01-04-2025,Delhi,South West Delhi,110021,36,162
01-04-2025,Delhi,West Delhi,110087,405,789
01-04-2025,Delhi,North West Delhi,110034,1253,1134
01-04-2025,Delhi,South West Delhi,110073,551,273
01-04-2025,Delhi,Central Delhi,110008,1442,1496
01-04-2025,Delhi,South West Delhi,110071,514,464
01-04-2025,Delhi,North Delhi,110006,1563,1769
01-03-2025,Delhi,North West Delhi,110083,735,1987
01-03-2025,Delhi,East Delhi,110051,501,757
01-03-2025,Delhi,South Delhi,110016,153,88
01-03-2025,Delhi,South Delhi,110048,105,122
01-03-2025,Delhi,South West Delhi,110064,201,298
01-03-2025,Delhi,North West Delhi,110033,1241,2983
01-03-2025,Delhi,South Delhi,110068,238,215
01-03-2025,Delhi,North East Delhi,110093,1171,880
01-03-2025,Delhi,West Delhi,110043,223,482
01-03-2025,Delhi,Shahdara,110093,75,190
01-03-2025,Delhi,South West Delhi,110046,568,866
01-03-2025,Delhi,New Delhi,110021,211,135
01-03-2025,Delhi,South West Delhi,110077,374,484
01-03-2025,Delhi,West Delhi,110059,3279,5137
01-03-2025,Delhi,North West Delhi,110042,2351,5106
01-03-2025,Delhi,North West Delhi,110039,959,1776
01-04-2025,Delhi,South West Delhi,110072,239,161
01-04-2025,Delhi,North West Delhi,110088,1006,1284
01-04-2025,Delhi,North East,110053,145,3844
01-04-2025,Delhi,New Delhi,110021,273,146
01-04-2025,Delhi,South West Delhi,110061,482,405
01-04-2025,Delhi,South West Delhi,110022,339,362
01-04-2025,Delhi,West Delhi,110063,666,759
01-03-2025,Delhi,North West Delhi,110034,695,993
01-03-2025,Delhi,North West Delhi,110089,267,636
